Datum,Depth_[m],Temp_[C]
20.06.95,5,16.4
20.06.95,10,12.8
20.06.95,20,10.7
20.06.95,30,10.3
20.06.95,40,9.7
25.07.95,0,23.0
25.07.95,5,21.5
25.07.95,10,15.3
25.07.95,20,12.1
25.07.95,30,11.2
25.07.95,40,10.4
22.08.95,0,22.1
22.08.95,5,20.8
22.08.95,10,16.5
22.08.95,20,10.1
22.08.95,30,9.8
22.08.95,40,10.4
19.09.95,0,16.6
19.09.95,5,15.4
19.09.95,10,15.8
19.09.95,20,9.9
19.09.95,30,9.2
19.09.95,40,9.3
17.10.95,0,15.9
17.10.95,5,16.2
17.10.95,10,14.7
17.10.95,20,9.0
17.10.95,30,8.4
17.10.95,40,9.4
21.11.95,0,9.9
21.11.95,5,9.6
21.11.95,10,9.5
21.11.95,20,8.4
21.11.95,30,8.0
21.11.95,40,8.0
05.12.95,0,8.2
05.12.95,5,7.7
05.12.95,10,7.6
05.12.95,20,7.7
05.12.95,30,7.7
05.12.95,40,6.9
16.01.96,0,6.8
16.01.96,5,4.9
16.01.96,10,5.0
16.01.96,20,5.0
16.01.96,30,5.1
16.01.96,40,5.4
20.02.96,0,4.9
20.02.96,5,3.5
20.02.96,10,3.5
20.02.96,20,3.5
20.02.96,30,3.5
20.02.96,40,3.8
20.03.96,0,5.9
20.03.96,5,4.9
20.03.96,10,4.9
20.03.96,20,4.8
20.03.96,30,4.7
20.03.96,40,5.0
23.04.96,0,15.0
23.04.96,5,8.8
23.04.96,10,7.7
23.04.96,20,6.9
23.04.96,30,7.0
23.04.96,40,7.0
21.05.96,0,15.0
21.05.96,5,13.4
21.05.96,10,10.0
21.05.96,20,8.0
21.05.96,30,8.2
21.05.96,40,7.5
17.06.96,0,20.5
17.06.96,5,18.3
17.06.96,10,14.5
17.06.96,20,10.8
17.06.96,30,9.3
17.06.96,40,9.0
23.07.96,0,23.5
23.07.96,5,20.2
23.07.96,10,17.9
23.07.96,20,11.4
23.07.96,30,10.3
23.07.96,40,10.0
21.08.96,0,21.2
21.08.96,5,20.6
21.08.96,10,17.4
21.08.96,20,14.3
21.08.96,30,10.5
21.08.96,40,9.2
17.09.96,0,14.8
17.09.96,5,15.0
17.09.96,10,14.2
17.09.96,20,7.1
17.09.96,30,6.4
17.09.96,40,7.0
22.10.96,0,12.0
22.10.96,5,12.1
22.10.96,10,11.8
22.10.96,20,8.7
22.10.96,30,7.2
22.10.96,40,7.4
26.11.96,0,8.0
26.11.96,5,8.0
26.11.96,10,8.0
26.11.96,20,7.8
26.11.96,30,7.7
26.11.96,40,6.2
10.12.96,0,5.9
10.12.96,5,5.9
10.12.96,10,5.7
10.12.96,20,5.7
10.12.96,30,5.8
10.12.96,40,5.3
08.04.97,0,7.3
08.04.97,5,7.0
08.04.97,10,6.9
08.04.97,20,6.9
08.04.97,30,6.9
08.04.97,40,6.9
18.06.97,0,20.0
18.06.97,5,20.0
18.06.97,10,15.0
18.06.97,20,12.0
18.06.97,30,10.0
18.06.97,40,10.0
19.08.97,0,25.0
19.08.97,5,20.0
19.08.97,10,16.0
19.08.97,20,11.0
19.08.97,30,12.0
19.08.97,40,12.0
18.11.97,0,9.7
18.11.97,5,9.3
18.11.97,10,9.6
18.11.97,20,9.6
18.11.97,30,8.8
18.11.97,40,8.3
05.05.98,0,12.0
05.05.98,5,11.6
05.05.98,10,9.0
05.05.98,20,7.8
05.05.98,30,7.6
05.05.98,40,7.9
25.08.98,0,21.1
25.08.98,5,20.4
25.08.98,10,16.7
25.08.98,20,9.2
25.08.98,30,8.8
25.08.98,40,9.9
17.11.98,0,8.7
17.11.98,5,9.0
17.11.98,10,8.8
17.11.98,20,9.2
17.11.98,30,8.4
17.11.98,40,7.2
24.02.99,0,2.7
24.02.99,5,2.7
24.02.99,10,2.7
24.02.99,20,2.6
24.02.99,30,2.6
