Time [d] (1.col)    z [m] (1.row)    Absorption [m-1] (rest)
1
13250.5000 0.630
13253.0000 0.609
13283.0000 0.594
13286.5000 0.739
13313.5000 0.654
13314.0000 0.570
13342.5000 0.459
13344.0000 0.751
13375.0000 0.890
13376.5000 0.680
13406.0000 0.614
13417.5000 0.354
13433.5000 0.378
13436.0000 0.441
13460.5000 0.425
13467.0000 0.381
13495.5000 0.459
13497.0000 0.414
13528.0000 0.642
13537.5000 4.250
13552.5000 0.531
13559.0000 0.475
13586.5000 0.304
13587.0000 0.541
13614.5000 0.630
13618.0000 0.609
13648.0000 0.594
13649.5000 0.258
13677.5000 0.567
13679.0000 0.570
13705.5000 0.810
13709.0000 0.751
13740.0000 0.890
13741.5000 0.567
13769.5000 0.515
13771.0000 0.614
13797.5000 0.315
13801.0000 0.441
13824.5000 0.243
13832.0000 0.381
13859.5000 0.340
13862.0000 0.414
13893.0000 0.642
13894.5000 0.362
13923.5000 0.274
13924.0000 0.475
13952.0000 0.541
13957.5000 0.340
13979.5000 0.340
13983.0000 0.609
14013.0000 0.594
14014.5000 0.386
14044.0000 0.570
14048.5000 0.567
14074.0000 0.751
14076.5000 0.447
14104.5000 0.309
14105.0000 0.890
14133.5000 0.425
14136.0000 0.614
14161.5000 0.340
14166.0000 0.441
14195.5000 0.395
14197.0000 0.381
14223.5000 0.447
14227.0000 0.414
14258.0000 0.642
14258.5000 0.293
14286.5000 0.567
14289.0000 0.475
14318.0000 0.541
14343.5000 0.425
14349.0000 0.609
14377.5000 0.293
14379.0000 0.594
14410.0000 0.570
14411.5000 0.486
14440.0000 0.751
14440.5000 0.486
14468.5000 0.630
14471.0000 0.890
14497.5000 0.378
14502.0000 0.614
14532.0000 0.441
14532.5000 0.354
14559.5000 0.258
14563.0000 0.381
14587.5000 0.333
14593.0000 0.414
14622.5000 0.340
14624.0000 0.642
14655.0000 0.475
14657.5000 0.425
14678.5000 0.395
14683.0000 0.541
14714.0000 0.609
14714.5000 0.378
14741.5000 0.239
14744.0000 0.594
14775.0000 0.570
14776.5000 0.486
14804.5000 0.708
14805.0000 0.751
14832.5000 1.133
14836.0000 0.890
14861.5000 0.680
14867.0000 0.614
14889.5000 0.607
14897.0000 0.441
14921.5000 0.262
14928.0000 0.381
14958.0000 0.414
14958.5000 0.340
14984.5000 0.425
14989.0000 0.642
15020.0000 0.475
15029.5000 0.378
15048.0000 0.541
15078.5000 0.378
15079.0000 0.609
15105.5000 0.321
15109.0000 0.594
15140.0000 0.570
15140.5000 0.486
15168.5000 1.000
15170.0000 0.751
15196.5000 0.680
15201.0000 0.890
15232.0000 0.614
15232.5000 0.405
15260.5000 0.283
15262.0000 0.441
15287.5000 0.227
15293.0000 0.381
15322.5000 0.189
15323.0000 0.414
15354.0000 0.642
15357.5000 0.486
15379.5000 0.283
15385.0000 0.475
15406.5000 0.378
15413.0000 0.541
15435.5000 0.378
15444.0000 0.609
15469.5000 0.425
15474.0000 0.594
15504.5000 0.567
15505.0000 0.570
15532.5000 0.850
15535.0000 0.751
15566.0000 0.890
15567.5000 0.756
15596.5000 0.850
15597.0000 0.614
15624.5000 0.243
15627.0000 0.441
15656.5000 0.425
15658.0000 0.381
15658.5000 0.425
15688.0000 0.414
15714.5000 0.405
15719.0000 0.642
15750.0000 0.475
15750.5000 0.340
15777.5000 0.425
15779.0000 0.541
15805.5000 0.486
15810.0000 0.609
15840.0000 0.594
15840.5000 0.415
15868.5000 0.425
15871.0000 0.570
15896.5000 0.567
15901.0000 0.751
15931.5000 1.417
15932.0000 0.890
15960.5000 0.850
15963.0000 0.614
15988.5000 0.309
15993.0000 0.441
16022.5000 0.236
16024.0000 0.381
16050.5000 0.486
16054.0000 0.414
16085.0000 0.642
16085.5000 0.567
16116.0000 0.475
16116.5000 0.340
16141.5000 0.486
16144.0000 0.541
16170.5000 0.486
16175.0000 0.609
16204.5000 0.227
16205.0000 0.594
16232.5000 0.618
16236.0000 0.570
16260.5000 0.378
16266.0000 0.751
16295.5000 1.000
16297.0000 0.890
16328.0000 0.614
16358.0000 0.441
16389.0000 0.381
16419.0000 0.414
16450.0000 0.642
16481.0000 0.475
16494.0000 0.475
